file_name,filtered_cross_layer_event_count,truth_front_first_count,pred_front_first_count,correct_count,accuracy
1.csv,16439,9922,9755,12850,0.7816777176227264
2.csv,16579,10086,9887,12908,0.7785753061101394
3.csv,16750,10253,10119,12968,0.7742089552238806
4.csv,16846,10306,10090,13108,0.7781075626261427
5.csv,16929,10413,10104,13282,0.7845708547462933
6.csv,17073,10361,10056,13316,0.779944942306566
7.csv,17033,10372,10087,13322,0.7821288087829508
8.csv,17165,10524,10197,13370,0.7789105738421206
9.csv,17408,10549,10431,13538,0.7776884191176471
10.csv,17298,10557,10482,13571,0.7845415654989016
11.csv,17376,10692,10504,13526,0.7784300184162063
12.csv,17275,10589,10346,13568,0.7854124457308249
13.csv,17183,10482,10268,13503,0.7858348367572601
14.csv,17116,10486,10183,13433,0.7848212199111942
15.csv,16818,10351,10107,13072,0.7772624568914258
16.csv,16359,9892,9682,12783,0.7814047313405464
17.csv,16238,9905,9739,12630,0.7778051484172928
18.csv,16384,9981,9792,12721,0.77642822265625
19.csv,16192,9765,9523,12640,0.7806324110671937
20.csv,16332,9885,9773,12742,0.7801861376438893
