analysis_label,method_name,display_name,reject_fraction_target,reject_fraction_actual_mean,retained_count_mean,retained_accuracy_mean,retained_balanced_accuracy_mean,retained_front_first_accuracy_mean,retained_rear_first_accuracy_mean,retained_truth_front_first_count_mean,retained_truth_rear_first_count_mean,retained_correct_front_first_count_mean,retained_correct_rear_first_count_mean
supervised_hoffman_to_contrast2e9,center_geometry,supervised_hoffman_to_contrast2e9 / center_geometry,0,0,337285.6,0.780536458424978,0.77236687066565,0.809698196807607,0.735035544523694,205548.4,131737.2,166432.2,96831.6
supervised_hoffman_to_contrast2e9,center_geometry,supervised_hoffman_to_contrast2e9 / center_geometry,0.05,0.0499985769221243,320421.8,0.794599814657108,0.786113028954542,0.821769499969012,0.750456557940071,198343.4,122078.4,162992.6,91614.6
supervised_hoffman_to_contrast2e9,center_geometry,supervised_hoffman_to_contrast2e9 / center_geometry,0.1,0.0999989324327606,303557.4,0.809014974782359,0.799395363396278,0.836394507859196,0.76239621893336,191241.8,112315.6,159953.6,85629
supervised_hoffman_to_contrast2e9,center_geometry,supervised_hoffman_to_contrast2e9 / center_geometry,0.2,0.199999051135047,269828.8,0.840289513883406,0.824564161827626,0.874811507867071,0.774316815788181,177138.8,92690,154963,71771.4
supervised_hoffman_to_contrast2e9,center_geometry,supervised_hoffman_to_contrast2e9 / center_geometry,0.3,0.299999169874272,236100.2,0.877538211591627,0.849168121155318,0.923835260890153,0.774500981420484,162904.2,73196,150496.6,56690.4
supervised_hoffman_to_contrast2e9,center_geometry,supervised_hoffman_to_contrast2e9 / center_geometry,0.4,0.399999288576558,202371.6,0.918843124863149,0.876175535419918,0.965544112995614,0.786806957844223,149495.4,52876.2,144344.4,41603.4
supervised_hoffman_to_contrast2e9,classifier,supervised_hoffman_to_contrast2e9 / classifier,0,0,337285.6,0.834426793503483,0.838839819175787,0.818675131151091,0.859004507200482,205548.4,131737.2,168277.4,113162.8
supervised_hoffman_to_contrast2e9,classifier,supervised_hoffman_to_contrast2e9 / classifier,0.05,0.0499985769221243,320421.8,0.851337676823115,0.856632457280033,0.833626502233678,0.879638412326388,197082.2,123339.6,164293,108494.2
supervised_hoffman_to_contrast2e9,classifier,supervised_hoffman_to_contrast2e9 / classifier,0.1,0.0999989324327606,303557.4,0.868217861162068,0.873625914240461,0.851442663422319,0.895809165058604,188780,114777.4,160735.4,102818.6
supervised_hoffman_to_contrast2e9,classifier,supervised_hoffman_to_contrast2e9 / classifier,0.2,0.199999051135047,269828.8,0.902791555060056,0.906256088659115,0.89400182891961,0.91851034839862,173056.4,96772.4,154712.8,88886.4
supervised_hoffman_to_contrast2e9,classifier,supervised_hoffman_to_contrast2e9 / classifier,0.3,0.299999169874272,236100.2,0.938692898399331,0.938461745142828,0.93913961802053,0.937783872265127,158333.4,77766.8,148697.2,72928.4
supervised_hoffman_to_contrast2e9,classifier,supervised_hoffman_to_contrast2e9 / classifier,0.4,0.399999288576558,202371.6,0.971737915625744,0.969970712341144,0.9741955096673,0.965745915014987,143510.8,58860.8,139807.6,56844.6
