response,factor_set,layer_y_mm,detector_bins,observed_count,matrix_expected_count,geant4_over_matrix
A218,baseline,30,512,218943853.0,217664387.5657503,1.005878156957868
A218,baseline,60,768,187861608.0,187716354.757057,1.000773791090984
A218,baseline,90,1024,157635471.0,156298007.55788934,1.008557136863151
A218,baseline,120,8192,588467251.0,592402080.9680698,0.9933578390514096
A218,candidate,30,512,218943853.0,218223274.17992553,1.003302025518508
A218,candidate,60,768,187861608.0,188257352.245647,0.9978978550323462
A218,candidate,90,1024,157635471.0,156831795.03949112,1.0051244453352493
A218,candidate,120,8192,588467251.0,594913690.4058967,0.989164076218353
A440,baseline,30,512,43204827.0,42472587.864501975,1.0172402759594976
A440,baseline,60,768,42288115.0,42444239.28152844,0.9963216614510891
A440,baseline,90,1024,39506120.0,39384773.72084324,1.0030810454826236
A440,baseline,120,8192,180627539.0,180714484.0498047,0.9995188816753574
A440,candidate,30,512,43204827.0,42433066.57868931,1.0181877126386685
A440,candidate,60,768,42288115.0,42399191.14264791,0.9973802296776323
A440,candidate,90,1024,39506120.0,39342834.47803973,1.0041503242998777
A440,candidate,120,8192,180627539.0,180732956.32166964,0.9994167233037343
C440to218,baseline,30,512,22069358.0,21911903.758330625,1.0071857855623116
C440to218,baseline,60,768,23510019.0,23028956.8479912,1.0208894460649773
C440to218,baseline,90,1024,24137108.0,23936357.94982922,1.0083868252050523
C440to218,baseline,120,8192,146050315.0,144286279.469563,1.0122259409343846
C440to218,candidate,30,512,22069358.0,21928236.44830449,1.0064356088109594
C440to218,candidate,60,768,23510019.0,23041567.460150674,1.020330714942006
C440to218,candidate,90,1024,24137108.0,23952328.17753738,1.0077144827464375
C440to218,candidate,120,8192,146050315.0,144464592.2521218,1.0109765495001763
