response,factor_set,layer_y_mm,detector_bins,observed_count,matrix_expected_count,geant4_over_matrix
A218,baseline,30,512,218943853.0,218223274.17992553,1.003302025518508
A218,baseline,60,768,187861608.0,188257352.245647,0.9978978550323462
A218,baseline,90,1024,157635471.0,156831795.03949112,1.0051244453352493
A218,baseline,120,8192,588467251.0,594913690.4058967,0.989164076218353
A218,candidate,30,512,218943853.0,218462794.54165643,1.0022020154935436
A218,candidate,60,768,187861608.0,188565186.0088911,0.996268780978171
A218,candidate,90,1024,157635471.0,157175980.36620948,1.0029234150963775
A218,candidate,120,8192,588467251.0,594910413.9416697,0.9891695240313924
A440,baseline,30,512,43204827.0,42433066.57868931,1.0181877126386685
A440,baseline,60,768,42288115.0,42399191.14264791,0.9973802296776323
A440,baseline,90,1024,39506120.0,39342834.47803973,1.0041503242998777
A440,baseline,120,8192,180627539.0,180732956.32166964,0.9994167233037343
A440,candidate,30,512,43204827.0,42466537.63991532,1.01738520258809
A440,candidate,60,768,42288115.0,42458544.63339828,0.995985975617633
A440,candidate,90,1024,39506120.0,39420120.26194328,1.0021816203878948
A440,candidate,120,8192,180627539.0,180617510.73327702,1.0000555221178846
C440to218,baseline,30,512,22069358.0,21928236.44830449,1.0064356088109594
C440to218,baseline,60,768,23510019.0,23041567.460150674,1.020330714942006
C440to218,baseline,90,1024,24137108.0,23952328.17753738,1.0077144827464375
C440to218,baseline,120,8192,146050315.0,144464592.2521218,1.0109765495001763
C440to218,candidate,30,512,22069358.0,21946672.43560366,1.0055901670176346
C440to218,candidate,60,768,23510019.0,23073410.09803102,1.01892259965536
C440to218,candidate,90,1024,24137108.0,23994530.42637613,1.0059420864292947
C440to218,candidate,120,8192,146050315.0,144368213.01364842,1.0116514705781705
