response,factor_set,layer_y_mm,detector_bins,observed_count,matrix_expected_count,geant4_over_matrix
A218,baseline,30,512,218943853.0,218462794.54165643,1.0022020154935436
A218,baseline,60,768,187861608.0,188565186.0088911,0.996268780978171
A218,baseline,90,1024,157635471.0,157175980.36620948,1.0029234150963775
A218,baseline,120,8192,588467251.0,594910413.9416697,0.9891695240313924
A218,candidate,30,512,218943853.0,218943857.04121125,0.9999999815422488
A218,candidate,60,768,187861608.0,187861613.25436884,0.9999999720306413
A218,candidate,90,1024,157635471.0,157635463.8183808,1.000000045558398
A218,candidate,120,8192,588467251.0,588467259.3234766,0.9999999858556675
A440,baseline,30,512,43204827.0,42466537.63991532,1.01738520258809
A440,baseline,60,768,42288115.0,42458544.63339828,0.995985975617633
A440,baseline,90,1024,39506120.0,39420120.26194328,1.0021816203878948
A440,baseline,120,8192,180627539.0,180617510.73327702,1.0000555221178846
A440,candidate,30,512,43204827.0,43204828.77408409,0.9999999589378284
A440,candidate,60,768,42288115.0,42288115.390192956,0.9999999907729878
A440,candidate,90,1024,39506120.0,39506121.13599367,0.9999999712451226
A440,candidate,120,8192,180627539.0,180627544.31005156,0.9999999706022048
C440to218,baseline,30,512,22069358.0,21946672.43560366,1.0055901670176346
C440to218,baseline,60,768,23510019.0,23073410.09803102,1.01892259965536
C440to218,baseline,90,1024,24137108.0,23994530.42637613,1.0059420864292947
C440to218,baseline,120,8192,146050315.0,144368213.01364842,1.0116514705781705
C440to218,candidate,30,512,22069358.0,22069358.733226664,0.9999999667762587
C440to218,candidate,60,768,23510019.0,23510018.255179007,1.0000000316810045
C440to218,candidate,90,1024,24137108.0,24137108.475705255,0.9999999802915392
C440to218,candidate,120,8192,146050315.0,146050321.5520813,0.9999999551381934
