response,factor_set,layer_y_mm,detector_bins,observed_count,matrix_expected_count,geant4_over_matrix
A218,baseline,30,512,218943853.0,217664387.5657503,1.005878156957868
A218,baseline,60,768,187861608.0,187716354.757057,1.000773791090984
A218,baseline,90,1024,157635471.0,156298007.55788934,1.008557136863151
A218,baseline,120,8192,588467251.0,592402080.9680698,0.9933578390514096
A218,candidate,30,512,218943853.0,218462794.54165643,1.0022020154935436
A218,candidate,60,768,187861608.0,188565186.0088911,0.996268780978171
A218,candidate,90,1024,157635471.0,157175980.36620948,1.0029234150963775
A218,candidate,120,8192,588467251.0,594910413.9416697,0.9891695240313924
A440,baseline,30,512,43204827.0,42472587.864501975,1.0172402759594976
A440,baseline,60,768,42288115.0,42444239.28152844,0.9963216614510891
A440,baseline,90,1024,39506120.0,39384773.72084324,1.0030810454826236
A440,baseline,120,8192,180627539.0,180714484.0498047,0.9995188816753574
A440,candidate,30,512,43204827.0,42466537.63991532,1.01738520258809
A440,candidate,60,768,42288115.0,42458544.63339828,0.995985975617633
A440,candidate,90,1024,39506120.0,39420120.26194328,1.0021816203878948
A440,candidate,120,8192,180627539.0,180617510.73327702,1.0000555221178846
C440to218,baseline,30,512,22069358.0,21911903.758330625,1.0071857855623116
C440to218,baseline,60,768,23510019.0,23028956.8479912,1.0208894460649773
C440to218,baseline,90,1024,24137108.0,23936357.94982922,1.0083868252050523
C440to218,baseline,120,8192,146050315.0,144286279.469563,1.0122259409343846
C440to218,candidate,30,512,22069358.0,21946672.43560366,1.0055901670176346
C440to218,candidate,60,768,23510019.0,23073410.09803102,1.01892259965536
C440to218,candidate,90,1024,24137108.0,23994530.42637613,1.0059420864292947
C440to218,candidate,120,8192,146050315.0,144368213.01364842,1.0116514705781705
