# Source: NIST XCOM Photon Cross Sections Database
# URL: https://physics.nist.gov/PhysRefData/Xcom/html/xcom1.html
# Linear coefficient = mass interaction coefficient * density / 10 (1/mm)
energy_keV,NaI_photoelectric_cm2_g,NaI_incoherent_cm2_g,NaI_mu_photoelectric_per_mm,NaI_mu_compton_per_mm,GAGG_photoelectric_cm2_g,GAGG_incoherent_cm2_g,GAGG_mu_photoelectric_per_mm,GAGG_mu_compton_per_mm,Pb_photoelectric_cm2_g,Pb_incoherent_cm2_g,Pb_mu_photoelectric_per_mm,Pb_mu_compton_per_mm,W_photoelectric_cm2_g,W_incoherent_cm2_g,W_mu_photoelectric_per_mm,W_mu_compton_per_mm
1,7794.0,0.005916,2860.398,0.002171172,2562.0,0.006919,1698.6060000000002,0.004587297,5197.0,0.003587,5898.594999999999,0.004071244999999999,3672.0,0.00434,7086.960000000001,0.0083762
2,1917.0,0.01541,703.539,0.00565547,2547.0,0.01818,1688.661,0.012053340000000001,1274.0,0.00962,1445.99,0.0109187,3911.0,0.01052,7548.2300000000005,0.020303599999999998
3,700.3,0.02459,257.01009999999997,0.00902453,943.1,0.02915,625.2753,0.01932645,1955.0,0.01525,2218.925,0.017308749999999998,1893.0,0.01633,3653.4900000000002,0.0315169
4,335.1,0.03292,122.9817,0.01208164,453.6,0.03904,300.7368,0.02588352,1242.0,0.02037,1409.6699999999998,0.023119949999999997,948.0,0.02186,1829.64,0.042189800000000006
5,727.6,0.04026,267.0292,0.014775419999999997,254.2,0.04773,168.5346,0.03164499,722.2,0.02516,819.6970000000001,0.028556599999999998,545.7,0.02711,1053.2010000000002,0.0523223
6,529.7,0.04679,194.3999,0.01717193,157.4,0.05522,104.35620000000002,0.03661086,459.8,0.0297,521.8729999999999,0.033709499999999996,344.6,0.03203,665.0780000000001,0.0618179
7,353.4,0.05266,129.69779999999997,0.019326219999999998,104.5,0.06165,69.2835,0.040873950000000006,311.7,0.03401,353.7795,0.03860134999999999,232.3,0.03655,448.33900000000006,0.07054150000000001
8,248.9,0.05799,91.3463,0.02128233,223.8,0.06726,148.3794,0.04459338,222.6,0.03807,252.65099999999998,0.043209449999999996,165.1,0.04068,318.643,0.07851240000000001
9,182.0,0.06286,66.794,0.02306962,189.7,0.0722,125.7711,0.0478686,164.6,0.04189,186.82099999999997,0.047545149999999994,121.5,0.04445,234.49500000000003,0.08578850000000002
10,137.5,0.06731,50.4625,0.02470277,145.2,0.07658,96.26759999999999,0.05077254,125.6,0.0454,142.55599999999998,0.051529000000000005,92.4,0.04792,178.33200000000002,0.0924856
11,106.2,0.07134,38.9754,0.026181779999999998,149.7,0.08052,99.25109999999998,0.053384759999999996,98.07,0.04858,111.30945,0.055138299999999994,187.6,0.05115,362.068,0.0987195
12,83.8,0.075,30.7546,0.027525,119.1,0.0841,78.96329999999999,0.0557583,78.23,0.05151,88.79105000000001,0.05846385,206.9,0.05412,399.317,0.1044516
13,67.42,0.07833,24.74314,0.02874711,96.49,0.08737,63.97287,0.05792631,63.54,0.05426,72.11789999999999,0.061585100000000004,195.4,0.05689,377.122,0.10979770000000003
14,55.12,0.08135,20.229039999999998,0.02985545,79.35,0.09035,52.60904999999999,0.05990205,130.4,0.05685,148.004,0.06452474999999999,161.9,0.0595,312.467,0.11483499999999999
15,45.7,0.0841,16.7719,0.030864699999999995,66.1,0.09308,43.824299999999994,0.06171204,108.2,0.0592,122.80699999999999,0.067192,135.9,0.06197,262.28700000000003,0.1196021
16,38.23,0.0866,14.030409999999998,0.0317822,55.54,0.09559,36.82302,0.06337617,148.3,0.06143,168.3205,0.06972305,114.6,0.06431,221.17799999999997,0.12411830000000001
17,32.32,0.08887,11.86144,0.032615290000000005,47.15,0.0979,31.26045,0.0649077,127.1,0.06353,144.25849999999997,0.07210655,97.69,0.06652,188.5417,0.1283836
18,27.6,0.09095,10.1292,0.033378649999999996,40.38,0.1,26.77194,0.0663,109.8,0.06546,124.623,0.0742971,84.01,0.0686,162.13930000000002,0.132398
19,23.76,0.09287,8.71992,0.03408329,34.86,0.102,23.11218,0.06762599999999999,95.7,0.06727,108.61949999999999,0.07635145,72.83,0.07058,140.56189999999998,0.13621940000000002
20,20.62,0.09463,7.567539999999999,0.034729209999999996,30.32,0.1038,20.10216,0.0688194,83.97,0.06897,95.30595,0.07828095,63.61,0.07246,122.7673,0.1398478
21,17.98,0.09627,6.59866,0.035331089999999996,26.51,0.1054,17.57613,0.06988019999999999,73.84,0.0706,83.8084,0.080131,55.81,0.07423,107.7133,0.14326390000000003
22,15.78,0.09778,5.791259999999999,0.03588526,23.32,0.1069,15.461160000000001,0.07087469999999998,65.32,0.07216,74.1382,0.08190159999999999,49.26,0.07591,95.0718,0.14650630000000003
