Photon   	Incoher.	Photoel.	Tot. wo/	
Energy   	Scatter.	Absorb. 	Coherent	

1.000E-02	6.731E-02	1.375E+02	1.376E+02	
1.500E-02	8.410E-02	4.570E+01	4.578E+01	
2.000E-02	9.463E-02	2.062E+01	2.071E+01	
3.000E-02	1.067E-01	6.607E+00	6.714E+00	
3.317E-02	1.090E-01	4.972E+00	5.081E+00	
3.317E-02	1.090E-01	2.976E+01	2.987E+01	
4.000E-02	1.127E-01	1.824E+01	1.835E+01	
5.000E-02	1.157E-01	1.006E+01	1.018E+01	
6.000E-02	1.169E-01	6.111E+00	6.228E+00	
8.000E-02	1.165E-01	2.746E+00	2.863E+00	
1.000E-01	1.144E-01	1.462E+00	1.576E+00	
1.500E-01	1.071E-01	4.592E-01	5.663E-01	
2.000E-01	1.000E-01	2.019E-01	3.020E-01	
3.000E-01	8.860E-02	6.481E-02	1.534E-01	
4.000E-01	8.009E-02	2.987E-02	1.100E-01	
5.000E-01	7.351E-02	1.684E-02	9.035E-02	
5.110E-01	7.287E-02	1.595E-02	8.883E-02	
6.000E-01	6.822E-02	1.079E-02	7.901E-02	
