label,energy_keV,radius_mm,angle_deg,factor_x_mm,factor_y_mm,factor_z_mm,geant4_x_mm,geant4_y_mm,geant4_z_mm,primary_events_per_worker,worker_count,target_primary_events
radial_r000_t000_E218,218,0,0,0,0,0,0,-245,0,1000000,100,100000000
radial_r000_t000_E440,440,0,0,0,0,0,0,-245,0,1000000,100,100000000
radial_r006_t000_E218,218,6,0,6,0,0,6,-245,0,1000000,100,100000000
radial_r006_t000_E440,440,6,0,6,0,0,6,-245,0,1000000,100,100000000
radial_r006_t090_E218,218,6,90,0,6,0,0,-239,0,1000000,100,100000000
radial_r006_t090_E440,440,6,90,0,6,0,0,-239,0,1000000,100,100000000
radial_r006_t180_E218,218,6,180,-6,0,0,-6,-245,0,1000000,100,100000000
radial_r006_t180_E440,440,6,180,-6,0,0,-6,-245,0,1000000,100,100000000
radial_r006_t270_E218,218,6,270,0,-6,0,0,-251,0,1000000,100,100000000
radial_r006_t270_E440,440,6,270,0,-6,0,0,-251,0,1000000,100,100000000
radial_r012_t000_E218,218,12,0,12,0,0,12,-245,0,1000000,100,100000000
radial_r012_t000_E440,440,12,0,12,0,0,12,-245,0,1000000,100,100000000
radial_r012_t090_E218,218,12,90,0,12,0,0,-233,0,1000000,100,100000000
radial_r012_t090_E440,440,12,90,0,12,0,0,-233,0,1000000,100,100000000
radial_r012_t180_E218,218,12,180,-12,0,0,-12,-245,0,1000000,100,100000000
radial_r012_t180_E440,440,12,180,-12,0,0,-12,-245,0,1000000,100,100000000
radial_r012_t270_E218,218,12,270,0,-12,0,0,-257,0,1000000,100,100000000
radial_r012_t270_E440,440,12,270,0,-12,0,0,-257,0,1000000,100,100000000
radial_r018_t000_E218,218,18,0,18,0,0,18,-245,0,1000000,100,100000000
radial_r018_t000_E440,440,18,0,18,0,0,18,-245,0,1000000,100,100000000
radial_r018_t090_E218,218,18,90,0,18,0,0,-227,0,1000000,100,100000000
radial_r018_t090_E440,440,18,90,0,18,0,0,-227,0,1000000,100,100000000
radial_r018_t180_E218,218,18,180,-18,0,0,-18,-245,0,1000000,100,100000000
radial_r018_t180_E440,440,18,180,-18,0,0,-18,-245,0,1000000,100,100000000
radial_r018_t270_E218,218,18,270,0,-18,0,0,-263,0,1000000,100,100000000
radial_r018_t270_E440,440,18,270,0,-18,0,0,-263,0,1000000,100,100000000
radial_r024_t000_E218,218,24,0,24,0,0,24,-245,0,1000000,100,100000000
radial_r024_t000_E440,440,24,0,24,0,0,24,-245,0,1000000,100,100000000
radial_r024_t090_E218,218,24,90,0,24,0,0,-221,0,1000000,100,100000000
radial_r024_t090_E440,440,24,90,0,24,0,0,-221,0,1000000,100,100000000
radial_r024_t180_E218,218,24,180,-24,0,0,-24,-245,0,1000000,100,100000000
radial_r024_t180_E440,440,24,180,-24,0,0,-24,-245,0,1000000,100,100000000
radial_r024_t270_E218,218,24,270,0,-24,0,0,-269,0,1000000,100,100000000
radial_r024_t270_E440,440,24,270,0,-24,0,0,-269,0,1000000,100,100000000
radial_r030_t000_E218,218,30,0,30,0,0,30,-245,0,1000000,100,100000000
radial_r030_t000_E440,440,30,0,30,0,0,30,-245,0,1000000,100,100000000
radial_r030_t090_E218,218,30,90,0,30,0,0,-215,0,1000000,100,100000000
radial_r030_t090_E440,440,30,90,0,30,0,0,-215,0,1000000,100,100000000
radial_r030_t180_E218,218,30,180,-30,0,0,-30,-245,0,1000000,100,100000000
radial_r030_t180_E440,440,30,180,-30,0,0,-30,-245,0,1000000,100,100000000
radial_r030_t270_E218,218,30,270,0,-30,0,0,-275,0,1000000,100,100000000
radial_r030_t270_E440,440,30,270,0,-30,0,0,-275,0,1000000,100,100000000
radial_r036_t000_E218,218,36,0,36,0,0,36,-245,0,1000000,100,100000000
radial_r036_t000_E440,440,36,0,36,0,0,36,-245,0,1000000,100,100000000
radial_r036_t090_E218,218,36,90,0,36,0,0,-209,0,1000000,100,100000000
radial_r036_t090_E440,440,36,90,0,36,0,0,-209,0,1000000,100,100000000
radial_r036_t180_E218,218,36,180,-36,0,0,-36,-245,0,1000000,100,100000000
radial_r036_t180_E440,440,36,180,-36,0,0,-36,-245,0,1000000,100,100000000
radial_r036_t270_E218,218,36,270,0,-36,0,0,-281,0,1000000,100,100000000
radial_r036_t270_E440,440,36,270,0,-36,0,0,-281,0,1000000,100,100000000
radial_r042_t000_E218,218,42,0,42,0,0,42,-245,0,1000000,100,100000000
radial_r042_t000_E440,440,42,0,42,0,0,42,-245,0,1000000,100,100000000
radial_r042_t090_E218,218,42,90,0,42,0,0,-203,0,1000000,100,100000000
radial_r042_t090_E440,440,42,90,0,42,0,0,-203,0,1000000,100,100000000
radial_r042_t180_E218,218,42,180,-42,0,0,-42,-245,0,1000000,100,100000000
radial_r042_t180_E440,440,42,180,-42,0,0,-42,-245,0,1000000,100,100000000
radial_r042_t270_E218,218,42,270,0,-42,0,0,-287,0,1000000,100,100000000
radial_r042_t270_E440,440,42,270,0,-42,0,0,-287,0,1000000,100,100000000
radial_r048_t000_E218,218,48,0,48,0,0,48,-245,0,1000000,100,100000000
radial_r048_t000_E440,440,48,0,48,0,0,48,-245,0,1000000,100,100000000
radial_r048_t090_E218,218,48,90,0,48,0,0,-197,0,1000000,100,100000000
radial_r048_t090_E440,440,48,90,0,48,0,0,-197,0,1000000,100,100000000
radial_r048_t180_E218,218,48,180,-48,0,0,-48,-245,0,1000000,100,100000000
radial_r048_t180_E440,440,48,180,-48,0,0,-48,-245,0,1000000,100,100000000
radial_r048_t270_E218,218,48,270,0,-48,0,0,-293,0,1000000,100,100000000
radial_r048_t270_E440,440,48,270,0,-48,0,0,-293,0,1000000,100,100000000
radial_r054_t000_E218,218,54,0,54,0,0,54,-245,0,1000000,100,100000000
radial_r054_t000_E440,440,54,0,54,0,0,54,-245,0,1000000,100,100000000
radial_r054_t090_E218,218,54,90,0,54,0,0,-191,0,1000000,100,100000000
radial_r054_t090_E440,440,54,90,0,54,0,0,-191,0,1000000,100,100000000
radial_r054_t180_E218,218,54,180,-54,0,0,-54,-245,0,1000000,100,100000000
radial_r054_t180_E440,440,54,180,-54,0,0,-54,-245,0,1000000,100,100000000
radial_r054_t270_E218,218,54,270,0,-54,0,0,-299,0,1000000,100,100000000
radial_r054_t270_E440,440,54,270,0,-54,0,0,-299,0,1000000,100,100000000
radial_r060_t000_E218,218,60,0,60,0,0,60,-245,0,1000000,100,100000000
radial_r060_t000_E440,440,60,0,60,0,0,60,-245,0,1000000,100,100000000
radial_r060_t090_E218,218,60,90,0,60,0,0,-185,0,1000000,100,100000000
radial_r060_t090_E440,440,60,90,0,60,0,0,-185,0,1000000,100,100000000
radial_r060_t180_E218,218,60,180,-60,0,0,-60,-245,0,1000000,100,100000000
radial_r060_t180_E440,440,60,180,-60,0,0,-60,-245,0,1000000,100,100000000
radial_r060_t270_E218,218,60,270,0,-60,0,0,-305,0,1000000,100,100000000
radial_r060_t270_E440,440,60,270,0,-60,0,0,-305,0,1000000,100,100000000
radial_r066_t000_E218,218,66,0,66,0,0,66,-245,0,1000000,100,100000000
radial_r066_t000_E440,440,66,0,66,0,0,66,-245,0,1000000,100,100000000
radial_r066_t090_E218,218,66,90,0,66,0,0,-179,0,1000000,100,100000000
radial_r066_t090_E440,440,66,90,0,66,0,0,-179,0,1000000,100,100000000
radial_r066_t180_E218,218,66,180,-66,0,0,-66,-245,0,1000000,100,100000000
radial_r066_t180_E440,440,66,180,-66,0,0,-66,-245,0,1000000,100,100000000
radial_r066_t270_E218,218,66,270,0,-66,0,0,-311,0,1000000,100,100000000
radial_r066_t270_E440,440,66,270,0,-66,0,0,-311,0,1000000,100,100000000
radial_r072_t000_E218,218,72,0,72,0,0,72,-245,0,1000000,100,100000000
radial_r072_t000_E440,440,72,0,72,0,0,72,-245,0,1000000,100,100000000
radial_r072_t090_E218,218,72,90,0,72,0,0,-173,0,1000000,100,100000000
